¼ø¹ø,ÀÛÇ°¸í,ÀÎ¹°¸í,ÀÛÁß ³ªÀÌ,¼ºº°,Ãâ»ýÁö,¿¬·É´ë,½ÅºÐÀ¯Çü,¿ø½Ãµ¥ÀÌÅÍ,ÅÂ±ë µ¥ÀÌÅÍ
15,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,¾Æµû ¾¦¾¦ÀÌ ¸¹ÀÌ Ä¿»ÑµûÀ×.. ÀÚ¶§¹®¿¡ ³î¶õ°ÍÀÌ ¾ü±×Á¦°°±¸¸¸,¾Æµû__01/IC ¾¦¾¦ÀÌ/NNP ¸¹ÀÌ/MAG Å©__01/VV+¾î/EC+»ÑµûÀ×/VV+./SF+./SF ÀÚ__18/NNB+¶§¹®/NNB+¿¡/JKB ³î¶ó/VV+¤¤/ETM+°Í__01/NNB+ÀÌ/JKS ¾ü±×Á¦/NNG+°°/VA+±¸¸¸/EC
16,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,±Ùµ¥ ÀÚ °øºÎ´Â ÀßÇÏ³Ä?,±Ùµ¥__01/MAJ ÀÚ__14/NNG °øºÎ__01/NNG+´Â/JX ÀßÇÏ/VV+³Ä/EF+?/SF
17,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÀßÇÏ±ß³Ä?,ÀßÇÏ/VV+±ß__01/VV+³Ä/EF+?/SF
18,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÄÇ´Ù°í ¸»µµ¾Èµè°í À§¾Æ·¡·Î ¼ö¿°³ª°í Â¡±×·¯¿öÁ×°Ú´Ù¾ÆÁÖ.,Å©__01/VA+¾ú/EP+´Ù°í/EC ¸»/NNG+µµ__05/NNB+¾È/MAG À§¾Æ·¡/NNG+·Î/JKB ¼ö¿°__04/NNG+³ª__01/VV+°í/EC Â¡±×·´/VA+¾î/EC+Á×__01/VX+°Ú/EP+´Ù/NR+¾ÆÁÖ__01/MAG+./SF
19,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,¾ß.. ±× ºñµð¿À ¿À·£¸¸ÀÌ´ÙÀ×. ,¾ß__04/IC+./SF+./SF ±×__01/MM ºñµð¿À/NNG ¿À·£¸¸/NNG+ÀÌ/VCP+´ÙÀ×/EF+./SF
20,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,±Ùµð °©ÀÚ±â ºñµð¿À´Â ¿Ö?,±Ùµð/MAJ °©ÀÚ±â/MAG ºñµð¿À/NNG+´Â/JX ¿Ö__02/MAG+?/SF
21,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,¾ß ³Ê ¼³¸¶ ±×°Å °áÈ¥½Ä Å×ÀÌÇÁ³Ä?,¾ß__04/IC ³Ê__01/NP ¼³¸¶__01/MAG ±×°Å/NP °áÈ¥½Ä/NNG Å×ÀÌÇÁ/NNG+ÀÌ/VCP+³Ä/EF+?/SF
22,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾î. ¼º³ªÁ¤¾ç °áÈ¥½ÄÅ×ÀÌÇÁ.,¾î/EF+./SF ¼º³ªÁ¤/NNP+¾ç__20/NNG °áÈ¥½Ä/NNG+Å×ÀÌÇÁ/NNG+./SF
23,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,"Áö¶ö.. ´Ñ ¿©Áö²¯ ½ÅÈ¥ÀÌ³Ä, °ÍÀ» ¾ÆÁ÷µµº¸°Ô?!","/SS+Áö¶ö/NNG+./SF+./SF ´Ñ/NNP ¿©Áö²¯/MAG ½ÅÈ¥__04/NNG+ÀÌ/VCP+³Ä/EC+,/SP °Í__01/NNB+À»/JKO ¾ÆÁ÷__01/MAG+µµº¸__01/NNG+°Í__01/NNB+ÀÌ/JKS+?/SF+!/SF+/SS"
24,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,"¹«½¼, ÀÒ¾î¹ö¸°ÁÙ ¾Ë¾Ò´Âµ¥ ±×Àú²² ÀÌ»ñÁü ½Î´Ù°¡ ¹ß°ßÇß´Ù´Ï±î.","/SS+¹«½¼/MM+,/SP ÀÒ¾î¹ö¸®/VV+¤¤/ETM+ÁÙ__04/NNB ¾Ë/VV+¾Ò/EP+´Âµ¥/EC ±×Àú²²/NNG ÀÌ»ñÁü/NNG ½Î__01/VV+´Ù°¡/EC ¹ß°ßÇÏ__01/VV+¾ú/EP+´Ù´Ï±î/EF+./SF+/SS"
25,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,"¾îµð ´ß»ì½º·´°í Åä³ª¿Í¼­ ±×¶© Â÷¸¶ ¸ø ºÃÁö, ¿À´Ã Ã¹ °³ºÀÀÌ´Ù¾ß.","/SS+¾îµð__01/NP ´ß»ì/NNG+½º·´/XSA+°í/EC Åä__05/NNG+³ª¿À/VV+¾Æ¼­/EC ±×¶§/NNG+¤¤/JX Â÷¸¶/MAG ¸ø__04/MAG º¸__01/VV+¾Ò/EP+Áö/EC+,/SP ¿À´Ã/NNG Ã¹/MM °³ºÀ__02/NNG+ÀÌ/VCP+´Ù/EC+¾ß/JKV+./SF+/SS"
26,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,±×°É ²À ÁýµéÀÌ ¶§ ºÁ¾ß¾²°Í³Ä,±×°Í/NP+¤©/JKO ²À__03/MAG Áý__01/NNG+µé__09/XSN+ÀÌ/JKS ¶§__01/NNG º¸__01/VV+¾Æ¾ß/EC+¾²__03/VV+°Í/EP+³Ä/EF
27,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹¹¾î¶§~ ¸â¹öµé ±×´ë·Î ¿¾³¯¸ð½Àµµ º¸°í ÁÁÁö¹¹.,¹¹¾î/IC+¶§/NNB+~/SO ¸â¹ö/NNG+µé__09/XSN ±×´ë·Î/MAG ¿¾³¯/NNG+¸ð½À__01/NNG+µµ/JX º¸__01/VV+°í/EC ÁÁ__01/VA+Áö/EC+¹¹/IC+./SF
28,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,¾¹... ´Ï°¡ Á© ÇèÇÒ²¬?,¾¹/VA+./SF+./SF+./SF ´Ï__05/NP+°¡/JKS Á©/NNG ÇèÇÏ/VA+¤©/ETM+²¨/NNB+¤©/JKO+?/SF
29,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,´Ï ±×¶§ ¹ÚÁÖ¹Ì ¿þµùµå·¹½º ÀÔ´Â´Ù°í ¸Ó¸®¿¡ ¹º ¿Õ°üµµ ¾²°í ±×·¨ÀÚ³×.,´Ï__05/NP ±×¶§/NNG ¹ÚÁÖ¹Ì/NNP ¿þµùµå·¹½º/NNG ÀÔ__01/VV+´Â´Ù°í/EC ¸Ó¸®__01/NNG+¿¡/JKB ¹«½¼/MM ¿Õ°ü__01/NNG+µµ/JX ¾²__03/VV+°í/EC ±×·¸/VA+ÀÚ³×/EF+./SF
30,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,º¸Áö¸¶±î..,º¸__01/VV+Áö/EC+¸»__03/VX+¤©±î/EF+./SF+./SF
31,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¿ÏÀü °³ ¾î±×·Î ¶ãÅÙµ¥..,¿ÏÀü__01/NNG °³__10/NNB ¾î__02/IC+±×__01/NP+·Î/JKB ¶ã__01/NNG+ÅÍ__02/NNB+ÀÌ/VCP+¤¤µ¥/EF+./SF+./SF
32,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,"¿©ÅÂ ¾È¿À°í ¹¹ÇØ, ÀüÃ¶ÅÀÁö?","/SS+¿©ÅÂ__01/MAG ¾È__02/MAG+¿À__01/VV+°í/EC ¹¹/NP+ÇÏ__01/VV+¾î/EC+,/SP ÀüÃ¶__04/NNG+Å¸__02/VV+¾Ò/EP+Áö/EF+?/SF+/SS"
33,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,"ÀßÇß´Ù, Åð±Ù½Ã°£¿¡ °­º¯ºÏ·Î ¸Ç³¯ ¸·Çô..","/SS+ÀßÇÏ/VV+¾ú/EP+´Ù/EC+,/SP Åð±Ù/NNG+½Ã°£__04/NNG+¿¡/JKB °­º¯ºÏ·Î/NNP ¸Ç³¯/MAG ¸·È÷/VV+¾î/EF+./SF+./SF+/SS"
34,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÇÑ³²´ë±³ºÎÅÍ ¸·È÷´Ï±î Áß°£¿¡ ÀÌÅÂ¿øÀ¸·Î ºüÁ®°¡Áö°í ½Ã³»·Î µé¾î¿ÀÁö¾Ê´ÂÇÑ ²ÄÂ¦¸¶¶ó¾ß.,ÇÑ³²/NNG+´ë±³__04/NNG+ºÎÅÍ/JX ¸·È÷/VV+´Ï±î/EC Áß°£__01/NNG+¿¡/JKB ÀÌÅÂ¿ø/NNP+À¸·Î/JKB ºüÁö__02/VV+¾î/EC+°¡Áö/VX+°í/EC ½Ã³»__03/NNG+·Î/JKB µé¾î¿À/VV+Áö/EC+¾Ê/VX+´Â/ETM+ÇÑ__06/NNG ²ÄÂ¦/MAG+¸»__03/VV+¶ó/EC+¾ß/EF+./SF
35,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,"¾î, ±×·¸Áö ¾à¼ö¿ª¿¡¼­ 6È£¼±À¸·Î °¥¾ÆÅ¸°í.","/SS+¾î__02/IC+,/SP ±×·¸/VA+Áö/EC ¾à¼ö¿ª/NNP+¿¡¼­/JKB 6/SN+È£¼±__07/NNG+À¸·Î/JKB °¥¾ÆÅ¸/VV+°í/EF+./SF+/SS"
36,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,±×°Ô Á© »¡¶ó,±×°Í/NP+ÀÌ/JKS Á©/NNG ºü¸£/VA+¾Æ/EC
37,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,DMC¿ª.,DMC/SL+¿ª__06/NNG+./SF
38,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,"±Û°í ¿Ã¶§ Ä¿ÇÇ Á» »ç¿Í¶ó, À±Áø¾Æ ³Ê Ä¿ÇÇ¾È¸¶½ÃÁö ¹¹¸¶½Ç·¡?","/SS+±Û°í/MAG ¿À__01/VV+¤©/ETM+¶§__01/NNG Ä¿ÇÇ/NNG Á»__02/MAG »ç¿Í¶ó/NNP+,/SP À±Áø¾Æ/NNP ³Ê__01/NP Ä¿ÇÇ/NNG+¾È/MAG+¸¶½Ã/VV+Áö/EC ¹¹/NP+¸¶½Ã/VV+¤©·¡/EF+?/SF+/SS"
39,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,³­ ÁÖ½º,³ª__03/NP+¤¤/JX ÁÖ½º/NNG
40,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¿À·»ÁöÁÖ½º ÇÑÀÜÀÌ¶û ³»²¬·Î´Â °Å±â ºí·çº£¸®¿ä°ÅÆ® ÀÖ°Åµç?,¿À·»Áö/NNG+ÁÖ½º/NNG ÇÑÀÜ/NNG+ÀÌ¶û/JKB ³ª__03/NP+ÀÇ/JKG+°Í__01/NNB+À¸·Î/JKB+´Â/ETM °Å±â__01/NP ºí·çº£¸®¿ä°ÅÆ®/NNG ÀÖ__01/VA+°Åµç/EF+?/SF
41,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,±×°Å ¾Æ¸óµå´Â »©°í ¿¡½ºÇÁ·¹¼Ò µÎ½ºÇ¬¸¸¾ñ¾î°¡Áö°í...,±×°Å/NP ¾Æ¸óµå/NNG+´Â/JX »©__01/VV+°í/EC ¿¡½ºÇÁ·¹¼Ò/NNG µÎ__01/MM+½ºÇ¬/NNG+¸¸/JX+¾ñ/VV+¾î/EC+°¡__01/VX+¾Æ/EC+Áö__04/VX+°í/EF+./SF+./SF+./SF
42,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,"¾Ë°Ú´Ù ¾Ë°Ú¾î ¸¾´ë·Î»ç¿Í, ¹Ì¾ÈÇØ","/SS+¾Ë/VV+°Ú/EP+´Ù/EC ¾Ë/VV+°Ú/EP+¾î/EC ¸¾´ë·Î/MAG+»ç__41/XSN+¿Í/JC+,/SP ¹Ì¾ÈÇÏ/VA+¾î/EF+/SS"
43,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,»¡¸®¿Í~ ÀÀ~,»¡¸®/MAG+¿Í/JKB+~/SO ÀÀ__01/IC+~/SO
44,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾Æ¸óµå ½È´Ù´Ï±î..,¾Æ¸óµå/NNG ½È__01/VA+´Ù´Ï±î/EF+./SF+./SF
45,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,"¾Æµû, ¿ï ¼º³ªÁ¤ÀÌ ¼­¿ï»ç¶÷ ´Ù µÆ±¸¸¶,","/SS+¾Æµû__01/IC+,/SP ¿ï/NP+Çü´Ô/NNG ¼º³ªÁ¤/NNP+ÀÌ/JKS ¼­¿ï__01/NNP+»ç¶÷/NNG ´Ù__03/MAG µÇ__01/VV+¾ú/EP+±¸/EC+¾Æ/NNG+,/SP+/SS"
46,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,ÀÌÁ¦ ¼­¿ïÁö¸®µµ ºü»è~ÇÏ°í Ä¿ÇÇµµ ¾ß¹°µüÁö°Ô ½ÃÄÑºÒ°í,ÀÌÁ¦__01/MAG ¼­¿ï__01/NNP+Áö¸®__03/NNG+µµ/JX ºü»è__01/MAG+~/SO+ÇÏ/XSV+°í/EC Ä¿ÇÇ/NNG+µµ/JX ¾ß¹°µüÁö/VA+°Ô/EC ½ÃÅ°__01/VV+¾î/EC+ºÒ__01/VV+°í/EC
47,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,¾Æ ¸¶»ê ÃÌ³âÀÌ Ãâ¼¼Çß´ÙÀ×?,¾Æ__02/IC ¸¶»ê__02/NNP ÃÌ³â/NNG+ÀÌ/JKS Ãâ¼¼ÇÏ__01/VV+¾ú/EP+´ÙÀ×/EF+?/SF
48,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,"Ä£±¸¾ß, ¿ÃÇØ·Î ³»°¡ ¼­¿ï»ýÈ° 19³âÂ°°Åµç.","/SS+Ä£±¸__02/NNG+¾ß/JKV+,/SP ¿ÃÇØ/NNG+·Î/JKB ³»__04/NP+°¡/JKS ¼­¿ï__01/NNP+»ýÈ°/NNG 19/SN+³â__02/NNB+Â°__02/XSN+ÀÌ/VCP+°Åµç/EF+./SF+/SS"
49,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÀÎ»ýÀÇ ¹ÝÀ» ¼­¿ï¿¡¼­ »ì¾Ò´Âµ¥ ÀÌ¸¸ÇÏ¸é ¼­¿ï»ç¶÷ÀÎ°Å ¾Æ´Ï~´Ï~?,ÀÎ»ý__01/NNG+ÀÇ/JKG ¹Ý__07/NNG+À»/JKO ¼­¿ï__01/NNP+¿¡¼­/JKB »ì__01/VV+¾Ò/EP+´Âµ¥/EC ÀÌ¸¸ÇÏ/VA+¸é/EC ¼­¿ï__01/NNP+»ç¶÷/NNG+ÀÌ/VCP+¤¤/ETM+°Å__01/NNB ¾Æ´Ï__02/IC+~/SO+ÀÌ/VCP+´Ï/EC+~/SO+?/SF
50,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,ÇÏ±â»ç.. Àú¶§ºñÇÏ¸é ´Ïµµ ¿ÏÀü ¼­¿ï»ç¶÷ÀÌÁ¦..,ÇÏ±â»ç/MAG+./SF+./SF Àú__04/MM+¶§__01/NNG+ºñÇÏ/VV+¸é/EC ´Ï__05/NP+µµ/JX ¿ÏÀü__01/NNG ¼­¿ï__01/NNP+»ç¶÷/NNG+ÀÌÁ¦__01/MAG+./SF+./SF
51,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,"¾ß.. ³ª ´ë°¡¸®¿¡ ¹¹,¹» ¾´°Å´Ï..","/SS+¾ß__04/IC+./SF+./SF ³ª__03/NP ´ë°¡¸®__01/NNG+¿¡/JKB ¹¹/IC+,/SP+¹¹/IC+¤©/JKO ¾²__01/VV+¤¤/ETM+°Í__01/NNB+ÀÌ/VCP+´Ï/EF+./SF+./SF+/SS"
52,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý, ¾È³ç..ÇÏ..¼¼¿ä~ ÇÏÇÏ..,¾È³ç/IC+./SF+./SF+ÇÏ__12/XSN+./SF+./SF+¼¼¿ä/EC+~/SO ÇÏÇÏ__02/IC+./SF+./SF
53,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,"(À±Áø¸ñ¼Ò¸®)¾ß ¼º³ªÁ¤, ´Ï ³Ê¹« ±½Àº°Å ¾ÆÀÌ³Ä? ","/SS+(/SS+À±Áø/NNP+¸ñ¼Ò¸®/NNG+)/SS+ÀÌ/VCP+¾ß/EC ¼º³ªÁ¤/NNP+,/SP ´Ï__05/NP ³Ê¹«__01/MAG ±½/VA+Àº/ETM+°Å__01/NNB ¾ÆÀÌ__01/NNG+ÀÌ/VCP+³Ä/EF+?/SF /SS"
54,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,°¡½¿ Èê·¯°¡²¿ Á¶±ÝÀÖÀ¸¸¶ Á¥Åë ´Ù º¸ÀÌ°Í´Ù.,°¡½¿__01/NNG Èê·¯°¡/VV+²¿/EC Á¶±Ý__01/NNG+ÀÖ__01/VX+À¸¸¶/EC Á¥Åë/NNG ´Ù__03/MAG º¸ÀÌ__01/VV+°Í/EP+´Ù/EF+./SF
55,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,µðÁú°Å°°°Åµç? ,µðÁú/NNG+°Å__01/NNB+°°/VA+°Åµç/EF+?/SF
56,ÀÀ´äÇÏ¶ó1994,Á¶À±Áø,19,¿©,Àü³² ¿©¼ö,10´ë,´ëÇÐ»ý,¾ß ±×·¡µµ ½ÅºÎ´Ô ¾ó±¼ Á» Ç®¾î¾ß,¾ß__04/IC ±×·¯/VV+¾îµµ/EC ½ÅºÎ__04/NNG+´Ô__04/XSN ¾ó±¼__01/NNG Á»__02/MAG Ç®/VV+¾î¾ß/EC
57,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,³Ê ÀÌÇ¥Á¤À¸·Î »çÁø ¿À¸¸¹æ Âï¾îºÁ¶ó ÀÌ·¸°Ô µÇ³ª¾ÈµÇ³ª.,³Ê__01/NP ÀÌ/MM+Ç¥Á¤__03/NNG+À¸·Î/JKB »çÁø__07/NNG ¿À¸¸/SN+¹æ/NNG Âï__02/VV+¾î/EC+º¸__01/VX+¾Æ/EC+¶ó/EC ÀÌ·¸/VA+°Ô/EC µÇ__01/VV+³ª/EC+¾ÈµÇ__01/VV+³ª/EF+./SF
